RECEITA ARRECADADA - 2021;;;;
;;;;
Ano Mês Movimento - Recolhimento;;Grupo Receita;;Valor Recolhimento
JANEIRO;JAN/2021;1;ICMS;3.489.064.711 
;;2;IPVA;1.557.807.893 
;;3;ITCMD;40.496.393 
;;4;TAXAS;4.958.919 
;;5;OUTROS;11.153.639 
FEVEREIRO;FEV/2021;1;ICMS;2.740.886.029 
;;2;IPVA;505.140.718 
;;3;ITCMD;56.438.840 
;;4;TAXAS;5.196.498 
;;5;OUTROS;6.958.669 
MARÇO;MAR/2021;1;ICMS;2.927.657.813 
;;2;IPVA;360.574.652 
;;3;ITCMD;75.070.455 
;;4;TAXAS;5.078.202 
;;5;OUTROS;4.952.125 
ABRIL;ABR/2021;1;ICMS;2.943.565.029 
;;2;IPVA;373.666.462 
;;3;ITCMD;61.752.394 
;;4;TAXAS;4.861.570 
;;5;OUTROS;3.145.446 
MAIO;MAI/2021;1;ICMS;3.056.138.936 
;;2;IPVA;380.649.605 
;;3;ITCMD;82.309.345 
;;4;TAXAS;5.081.245 
;;5;OUTROS;4.703.955 
JUNHO;JUN/2021;1;ICMS;3.168.404.311 
;;2;IPVA;277.547.883 
;;3;ITCMD;80.013.270 
;;4;TAXAS;5.232.755 
;;5;OUTROS;3.682.200 
JULHO;JUL/2021;1;ICMS;2.998.139.088 
;;2;IPVA;168.175.476 
;;3;ITCMD;72.861.696 
;;4;TAXAS;5.675.788 
;;5;OUTROS;8.221.352 
AGOSTO;AGO/2021;1;ICMS;3.336.924.975 
;;2;IPVA;135.700.764 
;;3;ITCMD;91.705.539 
;;4;TAXAS;6.191.665 
;;5;OUTROS;104.827.529 
SETEMBRO;SET/2021;1;ICMS;3.569.681.053 
;;2;IPVA;115.416.719 
;;3;ITCMD;85.349.924 
;;4;TAXAS;5.847.040 
;;5;OUTROS;12.385.910 
OUTUBRO;OUT/2021;1;ICMS;3.650.090.493 
;;2;IPVA;102.004.897 
;;3;ITCMD;74.603.274 
;;4;TAXAS;5.714.433 
;;5;OUTROS;5.254.626 
NOVEMBRO;NOV/2021;1;ICMS;3.695.941.776 
;;2;IPVA;95.436.817 
;;3;ITCMD;89.812.673 
;;4;TAXAS;6.366.436 
;;5;OUTROS;9.562.666 
DEZEMBRO;DEZ/2021;1;ICMS;3.696.465.060 
;;2;IPVA;111.388.720 
;;3;ITCMD;111.058.006 
;;4;TAXAS;4.948.785 
;;5;OUTROS;5.248.281 
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
