Ano Mês Movimento - Recolhimento,Grupo de arrecadação,Valor Recolhimento
01-janeiro,ICMS,"R$ 4.751.130.614,00"
01-janeiro,IPVA,"R$ 2.709.859.776,00"
01-janeiro,ITCMD,"R$ 124.707.897,00"
01-janeiro,TAXAS,"R$ 6.865.837,00"
01-janeiro,OUTROS,"R$ 18.739.137,00"
02-fevereiro,ICMS,"R$ 4.149.988.399,00"
02-fevereiro,IPVA,"R$ 852.144.506,00"
02-fevereiro,ITCMD,"R$ 113.506.189,00"
02-fevereiro,TAXAS,"R$ 6.999.494,00"
02-fevereiro,OUTROS,"R$ 12.735.934,00"
03-março,ICMS,"R$ 4.257.839.532,00"
03-março,IPVA,"R$ 808.807.620,00"
03-março,ITCMD,"R$ 104.179.664,00"
03-março,TAXAS,"R$ 6.873.829,00"
03-março,OUTROS,"R$ 13.339.585,00"
04-abril,ICMS,"R$ 4.373.548.532,00"
04-abril,IPVA,"R$ 761.754.781,00"
04-abril,ITCMD,"R$ 121.296.591,00"
04-abril,TAXAS,"R$ 7.390.204,00"
04-abril,OUTROS,"R$ 11.016.797,00"
05-maio,ICMS,"R$ 3.679.957.704,00"
05-maio,IPVA,"R$ 719.519.540,00"
05-maio,ITCMD,"R$ 115.229.253,00"
05-maio,TAXAS,"R$ 7.007.619,00"
05-maio,OUTROS,"R$ 9.668.147,00"
06-junho,ICMS,"R$ 4.602.970.128,00"
06-junho,IPVA,"R$ 299.781.211,00"
06-junho,ITCMD,"R$ 119.594.060,00"
06-junho,TAXAS,"R$ 7.037.953,00"
06-junho,OUTROS,"R$ 18.157.378,00"
07-julho,ICMS,"R$ 4.462.742.480,00"
07-julho,IPVA,"R$ 250.213.697,00"
07-julho,ITCMD,"R$ 113.163.462,00"
07-julho,TAXAS,"R$ 7.927.917,00"
07-julho,OUTROS,"R$ 22.286.720,00"
08-agosto,ICMS,"R$ 4.546.040.791,00"
08-agosto,IPVA,"R$ 221.018.249,00"
08-agosto,ITCMD,"R$ 116.029.884,00"
08-agosto,TAXAS,"R$ 7.513.652,00"
08-agosto,OUTROS,"R$ 14.024.509,00"
09-setembro,ICMS,"R$ 4.335.982.442,00"
09-setembro,IPVA,"R$ 212.226.353,00"
09-setembro,ITCMD,"R$ 125.221.639,00"
09-setembro,TAXAS,"R$ 7.961.963,00"
09-setembro,OUTROS,"R$ 12.840.710,00"
10-outubro,ICMS,"R$ 4.578.273.084,00"
10-outubro,IPVA,"R$ 198.792.380,00"
10-outubro,ITCMD,"R$ 143.350.465,00"
10-outubro,TAXAS,"R$ 8.314.258,00"
10-outubro,OUTROS,"R$ 13.725.671,00"
11-novembro,ICMS,"R$ 4.752.834.026,00"
11-novembro,IPVA,"R$ 154.606.781,00"
11-novembro,ITCMD,"R$ 172.939.383,00"
11-novembro,TAXAS,"R$ 6.636.334,00"
11-novembro,OUTROS,"R$ 12.418.927,00"
12-dezembro,ICMS,"R$ 4.749.049.483,00"
12-dezembro,IPVA,"R$ 192.796.387,00"
12-dezembro,ITCMD,"R$ 248.334.418,00"
12-dezembro,TAXAS,"R$ 5.979.345,00"
12-dezembro,OUTROS,"R$ 20.947.056,00"
