;;;
RECEITA TRIBUTÁRIA ARRECADADA - 2018;;;
;;;
 Mês Movimento - Recolhimento;Grupo Receita;;Valor Recolhimento - SGR
JANEIRO;1;ICMS;3.192.962.342 
;2;IPVA;1.422.935.864 
;3;ITCMD;33.397.369 
;4;TAXAS;5.798.409 
;5;OUTROS;7.884.012 
FEVEREIRO;1;ICMS;2.190.876.419 
;2;IPVA;562.978.542 
;3;ITCMD;27.523.565 
;4;TAXAS;5.853.741 
;5;OUTROS;3.363.113 
MARÇO;1;ICMS;2.255.645.067 
;2;IPVA;577.347.831 
;3;ITCMD;36.871.745 
;4;TAXAS;6.429.449 
;5;OUTROS;4.175.498 
ABRIL;1;ICMS;2.197.453.287 
;2;IPVA;178.027.442 
;3;ITCMD;33.635.862 
;4;TAXAS;6.612.244 
;5;OUTROS;4.149.231 
MAIO;1;ICMS;2.558.281.936 
;2;IPVA;115.416.106 
;3;ITCMD;39.470.768 
;4;TAXAS;6.413.961 
;5;OUTROS;5.720.849 
JUNHO;1;ICMS;2.359.104.838 
;2;IPVA;88.909.868 
;3;ITCMD;39.354.808 
;4;TAXAS;6.121.733 
;5;OUTROS;2.945.713 
JULHO;1;ICMS;2.424.723.614 
;2;IPVA;92.777.576 
;3;ITCMD;37.518.549 
;4;TAXAS;6.769.841 
;5;OUTROS;2.928.097 
AGOSTO;1;ICMS;2.597.707.719 
;2;IPVA;93.512.404 
;3;ITCMD;47.517.510 
;4;TAXAS;7.232.450 
;5;OUTROS;3.389.213 
SETEMBRO;1;ICMS;2.607.175.811 
;2;IPVA;80.711.554 
;3;ITCMD;35.027.333 
;4;TAXAS;5.977.560 
;5;OUTROS;4.710.503 
OUTUBRO;1;ICMS;2.563.113.977 
;2;IPVA;72.635.328 
;3;ITCMD;50.631.645 
;4;TAXAS;6.268.568 
;5;OUTROS;5.344.216 
NOVEMBRO;1;ICMS;2.724.223.012 
;2;IPVA;63.939.956 
;3;ITCMD;40.527.908 
;4;TAXAS;5.956.077 
;5;OUTROS;5.553.475 
DEZEMBRO;1;ICMS;2.746.521.883 
;2;IPVA;90.452.828 
;3;ITCMD;44.427.409 
;4;TAXAS;4.939.030 
;5;OUTROS;11.350.084 
;;;
