Ano Mês Movimento - Recolhimento,Grupo de arrecadação,Valor Recolhimento
01-janeiro,ICMS,"R$ 2.985.131.489,00"
01-janeiro,IPVA,"R$ 1.596.855.836,00"
01-janeiro,ITCMD,"R$ 33.140.326,00"
01-janeiro,TAXAS,"R$ 5.947.439,00"
01-janeiro,OUTROS,"R$ 3.798.403,00"
02-fevereiro,ICMS,"R$ 2.615.005.990,00"
02-fevereiro,IPVA,"R$ 649.873.894,00"
02-fevereiro,ITCMD,"R$ 30.385.049,00"
02-fevereiro,TAXAS,"R$ 5.686.585,00"
02-fevereiro,OUTROS,"R$ 7.910.784,00"
03-março,ICMS,"R$ 2.537.502.730,00"
03-março,IPVA,"R$ 525.895.565,00"
03-março,ITCMD,"R$ 35.092.743,00"
03-março,TAXAS,"R$ 4.772.202,00"
03-março,OUTROS,"R$ 5.788.935,00"
04-abril,ICMS,"R$ 2.202.258.030,00"
04-abril,IPVA,"R$ 150.634.925,00"
04-abril,ITCMD,"R$ 39.533.927,00"
04-abril,TAXAS,"R$ 2.674.125,00"
04-abril,OUTROS,"R$ 3.836.796,00"
05-maio,ICMS,"R$ 1.824.853.261,00"
05-maio,IPVA,"R$ 144.085.007,00"
05-maio,ITCMD,"R$ 39.494.393,00"
05-maio,TAXAS,"R$ 3.773.104,00"
05-maio,OUTROS,"R$ 3.633.385,00"
06-junho,ICMS,"R$ 2.238.960.535,00"
06-junho,IPVA,"R$ 137.221.405,00"
06-junho,ITCMD,"R$ 60.089.485,00"
06-junho,TAXAS,"R$ 4.509.897,00"
06-junho,OUTROS,"R$ 6.859.502,00"
07-julho,ICMS,"R$ 2.598.141.107,00"
07-julho,IPVA,"R$ 127.392.431,00"
07-julho,ITCMD,"R$ 64.228.540,00"
07-julho,TAXAS,"R$ 4.499.431,00"
07-julho,OUTROS,"R$ 7.079.389,00"
08-agosto,ICMS,"R$ 2.806.874.367,00"
08-agosto,IPVA,"R$ 126.274.511,00"
08-agosto,ITCMD,"R$ 58.162.186,00"
08-agosto,TAXAS,"R$ 4.598.449,00"
08-agosto,OUTROS,"R$ 7.826.319,00"
09-setembro,ICMS,"R$ 2.714.156.198,00"
09-setembro,IPVA,"R$ 127.554.304,00"
09-setembro,ITCMD,"R$ 74.119.851,00"
09-setembro,TAXAS,"R$ 4.765.679,00"
09-setembro,OUTROS,"R$ 7.209.546,00"
10-outubro,ICMS,"R$ 3.046.188.171,00"
10-outubro,IPVA,"R$ 117.348.125,00"
10-outubro,ITCMD,"R$ 65.240.471,00"
10-outubro,TAXAS,"R$ 4.926.238,00"
10-outubro,OUTROS,"R$ 6.333.199,00"
11-novembro,ICMS,"R$ 3.102.525.973,00"
11-novembro,IPVA,"R$ 98.140.132,00"
11-novembro,ITCMD,"R$ 97.976.305,00"
11-novembro,TAXAS,"R$ 4.907.486,00"
11-novembro,OUTROS,"R$ 6.141.716,00"
12-dezembro,ICMS,"R$ 2.962.529.057,00"
12-dezembro,IPVA,"R$ 108.044.954,00"
12-dezembro,ITCMD,"R$ 80.373.326,00"
12-dezembro,TAXAS,"R$ 3.812.557,00"
12-dezembro,OUTROS,"R$ 9.600.447,00"
