;;;
RECEITA TRIBUTÁRIA ARRECADADA - 2017;;;
;;;
 Mês Movimento - Recolhimento;Grupo Receita;;Valor Recolhimento - SGR
JANEIRO;1;ICMS;4.104.818.609 
;2;IPVA;1.372.599.901 
;3;ITCMD;46.544.355 
;4;TAXAS;4.976.580 
;5;OUTROS;16.258.401 
FEVEREIRO;1;ICMS;2.073.469.267 
;2;IPVA;519.758.504 
;3;ITCMD;34.343.518 
;4;TAXAS;5.039.158 
;5;OUTROS;5.209.366 
MARÇO;1;ICMS;2.193.740.770 
;2;IPVA;593.664.882 
;3;ITCMD;25.266.684 
;4;TAXAS;6.534.991 
;5;OUTROS;4.512.859 
ABRIL;1;ICMS;2.476.663.575 
;2;IPVA;154.911.364 
;3;ITCMD;28.604.099 
;4;TAXAS;5.096.008 
;5;OUTROS;3.222.799 
MAIO;1;ICMS;2.331.601.049 
;2;IPVA;120.378.021 
;3;ITCMD;29.860.225 
;4;TAXAS;5.883.892 
;5;OUTROS;5.269.733 
JUNHO;1;ICMS;2.163.141.058 
;2;IPVA;94.891.770 
;3;ITCMD;38.108.142 
;4;TAXAS;5.701.486 
;5;OUTROS;8.405.249 
JULHO;1;ICMS;2.347.318.236 
;2;IPVA;84.647.299 
;3;ITCMD;40.444.353 
;4;TAXAS;5.962.992 
;5;OUTROS;10.450.506 
AGOSTO;1;ICMS;2.407.114.307 
;2;IPVA;85.384.256 
;3;ITCMD;34.086.338 
;4;TAXAS;6.185.126 
;5;OUTROS;4.446.374 
SETEMBRO;1;ICMS;2.504.501.051 
;2;IPVA;72.183.162 
;3;ITCMD;30.668.693 
;4;TAXAS;5.377.060 
;5;OUTROS;12.516.730 
OUTUBRO;1;ICMS;2.478.889.185 
;2;IPVA;63.518.930 
;3;ITCMD;32.133.890 
;4;TAXAS;5.454.569 
;5;OUTROS;3.864.663 
NOVEMBRO;1;ICMS;2.444.278.154 
;2;IPVA;64.315.229 
;3;ITCMD;39.757.732 
;4;TAXAS;5.261.243 
;5;OUTROS;5.679.595 
DEZEMBRO;1;ICMS;2.524.000.204 
;2;IPVA;92.842.694 
;3;ITCMD;49.838.066 
;4;TAXAS;4.471.782 
;5;OUTROS;10.475.333 
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
